Date, RCP 2.6 Range (low), RCP 2.6 Median, RCP 2.6 Range (high), RCP 4.5 Range (low), RCP 4.5 Median, RCP 4.5 Range (high), RCP 8.5 Range (low), RCP 8.5 Median, RCP 8.5 Range (high)
01-01-22,5.36,6.16,7.24,5.03,6.12,6.81,5.69,6.55,7.12
01-01-23,5.54,6.31,7.23,5.06,6.24,7.26,5.24,6.1,7.54
01-01-24,5.26,6.44,7.09,5.52,6.17,7.49,6.05,6.41,7.54
01-01-25,5.2,6.32,7.74,5.89,6.56,7.68,5.46,6.27,7.44
01-01-26,5.37,6.36,7.46,5.39,6.6,7.69,5.27,6.45,7.7
01-01-27,5.47,6.34,7.29,5.78,6.59,7.85,5.37,6.59,8.04
01-01-28,5.6,6.56,7.63,5.64,6.62,7.86,5.07,6.83,7.72
01-01-29,5.94,6.39,7.33,5.01,6.1,7.21,5.14,6.9,7.38
01-01-30,5.42,6.28,7.51,5.5,6.46,7.36,5.77,6.94,7.82
01-01-31,5.29,6.35,7.92,5.67,6.55,7.81,5.88,6.8,7.75
01-01-32,5.41,6.57,7.38,5.65,6.4,7.81,5.97,6.98,7.95
01-01-33,5.44,6.32,7.34,6.06,6.91,8.06,5.54,6.64,7.39
01-01-34,5.51,6.65,7.56,6.32,7.08,7.61,6.13,6.87,8.41
01-01-35,5.91,6.32,8.03,6.05,6.93,8.43,5.78,7.15,8.71
01-01-36,5.61,6.76,7.92,5.54,6.83,8.02,6.3,6.89,8.27
01-01-37,5.62,6.69,8.01,5.7,6.76,8,6.16,7.04,8.24
01-01-38,5.95,6.83,8.06,5.91,7.21,8.04,6.23,7.49,8.85
01-01-39,5.49,6.92,8.31,5.84,6.98,8.03,6.48,7.29,8.49
01-01-40,5.65,6.87,7.32,6.13,7.17,8.18,6.07,7.32,8.07
01-01-41,5.98,7.1,7.86,6.02,7.22,8.2,6.4,7.37,8.72
01-01-42,5.96,6.61,8.38,6.48,7.16,8.5,6.58,7.48,8.71
01-01-43,5.72,6.68,8.16,6.21,7.54,8.44,6.79,7.61,8.95
01-01-44,5.36,6.58,7.83,6.54,7.24,7.98,6.53,7.67,9.04
01-01-45,5.55,6.84,8.37,6.28,7.26,8.35,6.53,7.47,8.62
01-01-46,6.04,7.16,8.79,6.08,7.46,8.93,6.73,7.9,8.82
01-01-47,6.14,6.68,8.47,6.27,7.58,8.31,7.23,7.89,9.48
01-01-48,5.74,7,8.28,6.21,7.27,8.58,6.77,7.94,9.75
01-01-49,5.56,7.06,7.97,6.07,7.14,8.66,6.76,8.12,9.18
01-01-50,6.17,7,7.72,5.62,7.21,8.75,7.21,8.2,9.44
01-01-51,5.71,6.81,8.74,6.28,7.35,8.62,6.92,8.34,10.56
01-01-52,5.71,6.94,9.02,6.26,7.41,8.94,6.84,8.11,9.44
01-01-53,5.66,7.03,7.88,6.47,7.83,8.6,7.37,8.42,9.92
01-01-54,5.66,7.06,8.68,6.4,7.6,9.12,7.19,8.64,10.47
01-01-55,5.87,6.96,8.61,6.95,7.74,8.85,7.33,8.3,9.97
01-01-56,5.46,6.76,8.32,7.04,7.61,9.17,7.44,8.53,9.84
01-01-57,5.81,6.51,7.93,6.64,7.55,8.65,7.04,8.62,9.69
01-01-58,6.15,6.82,8.18,6.18,7.37,8.86,7.63,8.78,9.93
01-01-59,5.84,6.66,8.24,6.47,7.46,8.63,8.07,9.04,10.13
01-01-60,5.44,6.82,8.76,6.54,7.69,9.05,7.5,8.88,10.2
01-01-61,6.15,6.91,8.07,6.76,7.76,9.86,7.86,8.65,10.5
01-01-62,5.36,7.36,8.11,6.62,8.43,9.55,7.44,8.83,10.16
01-01-63,5.74,6.87,8.14,7.02,7.58,9.83,8.1,9.29,10.95
01-01-64,5.52,6.98,8.27,6.51,7.89,9.67,8.47,9.19,10.54
01-01-65,6.2,6.98,9.08,6.61,7.9,9.29,8.43,9.56,10.44
01-01-66,5.69,6.94,8.12,6.42,7.64,9.07,7.62,9.24,11.02
01-01-67,5.79,6.96,8.5,6.38,8.18,9.93,7.91,9.25,10.87
01-01-68,6.13,7.04,8.28,6.64,7.72,9.21,8.51,9.19,11.07
01-01-69,6.04,7,8.35,6.63,7.92,9.59,8.26,9.75,10.69
01-01-70,5.63,6.85,8.24,6.54,7.61,9.41,8.71,9.55,11.68
01-01-71,5.65,6.83,8.23,6.75,8.21,9.81,8.69,9.69,11.57
01-01-72,5.7,6.83,7.93,6.8,7.75,9,8.55,9.93,11.3
01-01-73,5.85,6.89,8.49,6.75,8.3,9.79,8.8,10.06,11.98
01-01-74,5.76,6.71,8.84,6.67,7.71,9.54,8.8,10.18,12.03
01-01-75,5.49,6.86,8.33,6.56,7.95,9.99,8.86,10.03,11.83
01-01-76,6.06,6.6,8.39,6.92,7.91,9.47,8.56,9.93,11.93
01-01-77,5.64,7,8.11,6.76,8.35,9.43,9.05,10.11,11.99
01-01-78,6.08,6.69,8.12,6.29,8.09,9.88,9.16,10.15,12.43
01-01-79,5.84,6.98,8.08,7.13,7.81,9.64,8.99,10.49,12.07
01-01-80,6.09,6.96,8.39,7.2,8,9.57,8.88,10.51,12.44
01-01-81,5.64,6.95,7.95,6.92,7.82,9.39,9.14,10.6,12.42
01-01-82,5.72,6.75,7.83,7.11,8.26,10.06,9.04,10.55,12.44
01-01-83,6.12,6.78,7.96,7.16,8.08,10.34,9.01,10.64,12.01
01-01-84,5.76,6.81,8,6.62,8.15,9.43,9.21,10.63,12.58
01-01-85,6.05,6.76,8.39,6.97,8.24,9.88,9.47,10.79,12.97
01-01-86,5.93,6.93,8.88,7.26,7.88,9.62,9.15,10.55,12.83
01-01-87,5.8,7.02,8.18,6.9,8.19,9.09,8.94,10.96,13.32
01-01-88,6.28,7.18,8.23,6.83,8,9.77,9.6,10.95,13.14
01-01-89,5.67,6.48,8.41,6.81,8.12,9.63,8.96,11.47,13.42
01-01-90,5.79,6.73,8.41,6.97,8.29,9.96,9.46,11.22,13
01-01-91,6.05,7.17,8.43,6.63,8.46,9.86,9.71,11.19,13.45
01-01-92,5.79,6.78,7.76,6.87,8.48,10.38,9.8,11.35,13.71
01-01-93,5.62,6.54,8.56,7.09,8.39,9.67,10.22,11.15,13.42
01-01-94,5.43,6.79,7.95,6.73,8.18,10.24,10.12,11.52,13.72
01-01-95,5.75,6.96,8.02,6.62,8.15,10.17,9.69,10.93,14.12
01-01-96,6.05,6.86,7.7,7.25,8.13,9.97,9.51,11.55,13.76
01-01-97,5.74,6.85,7.99,6.91,8.47,9.98,10.16,12.12,14.24
01-01-98,5.86,6.72,8.18,7.21,8.19,9.84,10.09,11.86,14.45
01-01-99,5.63,6.31,8.37,6.91,8.49,10.03,10.46,11.72,13.72
